[2026-04-17 06:12:18] 用户： 1108793370   步数： 13220
[2026-04-17 06:12:25] 用户： 1001403064   步数： 12875
[2026-04-17 06:12:34] 用户： 1113543481   步数： 11732
[2026-04-17 06:12:42] 用户： 1082433107   步数： 12292
[2026-04-17 06:12:51] 用户： 1198145144   步数： 13952
[2026-04-17 06:12:58] 用户： 1198135383   步数： 11413
[2026-04-17 06:13:07] 用户： 1188746102   步数： 10872
[2026-04-17 06:13:15] 用户： 1189258173   步数： 11143
[2026-04-17 06:27:12] 用户： 1108793370   步数： 13785
[2026-04-17 06:27:20] 用户： 1001403064   步数： 13591
[2026-04-17 06:27:28] 用户： 1113543481   步数： 13424
[2026-04-17 06:27:37] 用户： 1082433107   步数： 13051
[2026-04-17 06:27:45] 用户： 1198145144   步数： 10566
[2026-04-17 06:27:57] 用户： 1198135383   步数： 12506
[2026-04-17 06:28:06] 用户： 1188746102   步数： 13638
[2026-04-17 06:28:14] 用户： 1189258173   步数： 11314
[2026-04-17 09:27:21] 用户： 1108793370   步数： 16359
[2026-04-17 09:27:29] 用户： 1001403064   步数： 15972
[2026-04-17 09:27:36] 用户： 1113543481   步数： 16229
[2026-04-17 09:27:45] 用户： 1082433107   步数： 15418
[2026-04-17 09:27:52] 用户： 1198145144   步数： 15762
[2026-04-17 09:28:00] 用户： 1198135383   步数： 16416
[2026-04-17 09:28:07] 用户： 1188746102   步数： 14941
[2026-04-17 09:28:15] 用户： 1189258173   步数： 15212
[2026-04-17 11:16:15] 用户： 1108793370   步数： 14711
[2026-04-17 11:16:23] 用户： 1001403064   步数： 16479
[2026-04-17 11:16:30] 用户： 1113543481   步数： 17377
[2026-04-17 11:16:39] 用户： 1082433107   步数： 17132
[2026-04-17 11:16:46] 用户： 1198145144   步数： 18093
[2026-04-17 11:16:53] 用户： 1198135383   步数： 18164
[2026-04-17 11:17:02] 用户： 1188746102   步数： 16453
[2026-04-17 11:17:09] 用户： 1189258173   步数： 17380
[2026-04-18 04:02:54] 用户： 1108793370   步数： 9850
[2026-04-18 04:03:03] 用户： 1001403064   步数： 10912
[2026-04-18 04:03:11] 用户： 1113543481   步数： 11159
[2026-04-18 04:03:18] 用户： 1082433107   步数： 10948
[2026-04-18 04:03:25] 用户： 1198145144   步数： 9017
[2026-04-18 04:03:32] 用户： 1198135383   步数： 9512
[2026-04-18 04:03:40] 用户： 1188746102   步数： 11248
[2026-04-18 04:03:48] 用户： 1189258173   步数： 10333
[2026-04-18 05:48:41] 用户： 1108793370   步数： 13059
[2026-04-18 05:48:48] 用户： 1001403064   步数： 10616
[2026-04-18 05:48:55] 用户： 1113543481   步数： 11614
[2026-04-18 05:49:03] 用户： 1082433107   步数： 10389
[2026-04-18 05:49:11] 用户： 1198145144   步数： 11938
